Zeitstempel,What's the address of the property?,What's the price per month?,What's the link to the property?
05.03.2026 14:43:42,"480 Warren Dr #312, San Francisco, CA 94131","$2,895",https://www.zillow.com/apartments/san-francisco-ca/mt.-sutro/5XjVRC/
05.03.2026 14:43:49,"971 Eddy St #212, San Francisco, CA 94109","$2,805",https://www.zillow.com/apartments/san-francisco-ca/konrad-on-the-park/9NKJXS/
05.03.2026 14:43:56,"1188 Mission St, San Francisco, CA",$1914,https://www.zillow.com/apartments/san-francisco-ca/1188-mission-at-trinity-place/5XjN4q/
05.03.2026 14:44:03,"1155 Jones St APT 208, San Francisco, CA 94109","$2,950",https://www.zillow.com/apartments/san-francisco-ca/nob-hill-place/5XkKgw/
05.03.2026 14:44:10,"8 Locksley Ave, San Francisco, CA 94131","$2,917",https://www.zillow.com/b/avalon-sunset-towers-san-francisco-ca-5XjLKv/
05.03.2026 14:44:17,"125 Gardenside Dr, San Francisco, CA 94114","$2,595",https://www.zillow.com/apartments/san-francisco-ca/125.dash.135-gardenside/BjFbbM/
05.03.2026 14:44:24,"820 McAllister St, San Francisco, CA 94102","$2,000",https://www.zillow.com/apartments/san-francisco-ca/freedom-west/5mmHmr/
05.03.2026 14:44:31,"24 Franklin St #805, San Francisco, CA 94102","$2,824",https://www.zillow.com/apartments/san-francisco-ca/franklin-st/9NJqFL/
05.03.2026 14:44:38,"168 Bluxome St, San Francisco, CA 94107","$2,800",https://www.zillow.com/b/loft-168-san-francisco-ca-9NK42M/
05.03.2026 14:44:45,"455 Eddy St APT E1102, San Francisco, CA 94102","$2,450",https://www.zillow.com/apartments/san-francisco-ca/mosser-towers-apartments/9NJr4f/
05.03.2026 14:44:52,"1029 Geary St, San Francisco, CA 94109","$2,095",https://www.zillow.com/apartments/san-francisco-ca/1029-geary-st./5YCgZq/
05.03.2026 14:44:58,"33 8th St, San Francisco, CA","$2,298",https://www.zillow.com/apartments/san-francisco-ca/33-8th-at-trinity-place/9NJw4S/
05.03.2026 14:45:05,"1 Saint Francis Pl, San Francisco, CA","$2,809",https://www.zillow.com/apartments/san-francisco-ca/soma-square/5Xj2Yr/
05.03.2026 14:45:12,"480 Potrero Ave #610, San Francisco, CA 94110","$2,495",https://www.zillow.com/apartments/san-francisco-ca/480-potrero-ave/5mY4JQ/
05.03.2026 14:45:19,"240 Dolores St, San Francisco, CA","$2,494",https://www.zillow.com/apartments/san-francisco-ca/the-mission/5XjQJR/
05.03.2026 14:45:26,"1222 Harrison St, San Francisco, CA","$2,775",https://www.zillow.com/apartments/san-francisco-ca/l-seven/9NJtD7/
05.03.2026 14:45:32,"555 Ofarrell St, San Francisco, CA","$1,745",https://www.zillow.com/apartments/san-francisco-ca/palace-court-apartments/5XjKSv/
05.03.2026 14:45:39,"2000 Post St, San Francisco, CA","$2,764",https://www.zillow.com/apartments/san-francisco-ca/2000-post/5XjRNn/
05.03.2026 14:45:46,"1532 Harrison St, San Francisco, CA","$2,799",https://www.zillow.com/apartments/san-francisco-ca/hq/9NJthZ/
05.03.2026 14:45:53,"55 9th St, San Francisco, CA","$2,525",https://www.zillow.com/apartments/san-francisco-ca/ava-55-ninth/5XkH8X/
05.03.2026 14:46:00,"2133 Stockton St, San Francisco, CA","$2,199",https://www.zillow.com/apartments/san-francisco-ca/the-bay/5Xhzkj/
05.03.2026 14:46:07,"277 Golden Gate Ave, San Francisco, CA","$1,995",https://www.zillow.com/apartments/san-francisco-ca/lofts-at-seven/5XmsgS/
05.03.2026 14:46:17,"347 Eddy St, San Francisco, CA","$1,895",https://www.zillow.com/apartments/san-francisco-ca/347-eddy-st./5XxfK3/
05.03.2026 14:46:24,"299 Fremont St, San Francisco, CA","$2,898",https://www.zillow.com/b/solaire-san-francisco-ca-65g7KK/
05.03.2026 14:46:31,"1550 Bay St APT B225, San Francisco, CA 94123","$2,999",https://www.zillow.com/apartments/san-francisco-ca/marina-cove-apartments/5XjRBB/
05.03.2026 14:46:38,"800 Indiana St, San Francisco, CA 94107","$2,830",https://www.zillow.com/apartments/san-francisco-ca/avalon-dogpatch/5Yy5Rr/
05.03.2026 14:46:45,"430 Davis Ct #3-0306, San Francisco, CA 94111","$2,895",https://www.zillow.com/apartments/san-francisco-ca/the-gateway/5Xkxvk/
05.03.2026 14:46:52,"50 Laguna St APT 604, San Francisco, CA 94102","$2,775",https://www.zillow.com/apartments/san-francisco-ca/50-laguna/5XjSDX/
05.03.2026 14:46:58,"1475 Fillmore St #S30305, San Francisco, CA 94115","$2,998",https://www.zillow.com/apartments/san-francisco-ca/the-fillmore-center/5XjVzy/
05.03.2026 14:47:05,"1333 Gough St APT 1G, San Francisco, CA 94109","$2,895",https://www.zillow.com/apartments/san-francisco-ca/1333-gough-apartments-at-cathedral-hall/5XjRmn/
05.03.2026 14:47:12,"1177 Market St, San Francisco, CA","$2,773",https://www.zillow.com/apartments/san-francisco-ca/1177-market-at-trinity-place/BNjvdD/
05.03.2026 14:47:19,"300 Buchanan St #202, San Francisco, CA 94102","$2,975",https://www.zillow.com/apartments/san-francisco-ca/300-buchanan/5XjW2N/
